State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Shamli,Khandhla,Tomato,Hybrid,FAQ,26/01/2024,1400,1500,1450,78
West Bengal,Nadia,Ranaghat,Tomato,Other,FAQ,26/01/2024,2300,2450,2400,78
Rajasthan,Ajmer,Kekri,Black Gram (Urd Beans)(Whole),Other,FAQ,26/01/2024,5600,8631,7100,8
Maharashtra,Sholapur,Kurdwadi,Jowar(Sorghum),Other,FAQ,26/01/2024,2800,2800,2800,5
Uttar Pradesh,Etah,Etah,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,26/01/2024,8150,9000,8800,8
Uttar Pradesh,Kanpur Dehat,Rura,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,26/01/2024,6900,7100,7000,8
Uttar Pradesh,Saharanpur,Saharanpur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,26/01/2024,8690,9100,8870,8
Haryana,Jind,Jullana,Cotton,American,FAQ,26/01/2024,6200,6735,6450,15
Haryana,Jind,"New Grain Market , Jind",Cotton,American,FAQ,26/01/2024,5350,6870,6650,15
Haryana,Sirsa,"New Grain Market , Sirsa",Cotton,American,FAQ,26/01/2024,4900,7050,6700,15
Karnataka,Bijapur,Bijapur,Cotton,LH-1556,FAQ,26/01/2024,5662,7151,6746,15
Andhra Pradesh,Kurnool,Allagadda,Jowar(Sorghum),Jowar ( White),FAQ,26/01/2024,3250,3450,3350,5
Rajasthan,Churu,Sujangarh,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,26/01/2024,13000,13000,13000,11
Maharashtra,Nagpur,Kalmeshwar,Cotton,Other,FAQ,26/01/2024,6700,7000,6825,15
Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),Gulabi,FAQ,26/01/2024,5335,5335,5335,6
Punjab,Mansa,Bareta,Cotton,American,FAQ,26/01/2024,5000,6620,6180,15
Maharashtra,Ahmednagar,Shrirampur,Chilly Capsicum,Other,FAQ,26/01/2024,4000,6000,5000,88
Punjab,Ludhiana,Ludhiana,Bitter gourd,Other,FAQ,26/01/2024,1800,2600,2100,81
Maharashtra,Dharashiv(Usmanabad),Dharashiv,Chilly Capsicum,Other,FAQ,26/01/2024,3000,4000,3500,88
Telangana,Hyderabad,Bowenpally,Bitter gourd,Bitter Gourd,FAQ,26/01/2024,1000,4000,3000,81
Maharashtra,Pune,Manchar,Chilly Capsicum,Other,FAQ,26/01/2024,2000,4500,3250,88
Odisha,Dhenkanal,Kamakhyanagar,Pumpkin,Pumpkin,FAQ,26/01/2024,1900,2200,2000,84
Himachal Pradesh,Kullu,Kullu,Water Melon,Other,Medium,26/01/2024,3000,3500,3200,73
Kerala,Alappuzha,Cherthala,Water Melon,Water Melon,Large,26/01/2024,2500,2700,2600,73
Kerala,Kollam,Chathanoor,Water Melon,Other,Medium,26/01/2024,3500,3900,3700,73
Haryana,Faridabad,Faridabad,Chikoos(Sapota),Other,Large,26/01/2024,2800,3000,2900,71
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,26/01/2024,3000,4000,3500,71
Haryana,Kurukshetra,Ladwa,Chikoos(Sapota),Sapota,Medium,26/01/2024,5000,5000,5000,71
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,26/01/2024,1500,1500,1500,72
Haryana,Kurukshetra,Thanesar,Papaya,Papaya,Medium,26/01/2024,2000,3000,2500,72
Punjab,Barnala,Barnala,Water Melon,Other,Large,26/01/2024,3000,3200,3100,73
Himachal Pradesh,Hamirpur,Hamirpur,Chikoos(Sapota),Other,Medium,26/01/2024,5200,5500,5350,71
Uttar Pradesh,Kanpur Dehat,Jhijhank,Pumpkin,Pumpkin,FAQ,26/01/2024,1350,1500,1430,84
Uttar Pradesh,Kanpur Dehat,Pukharayan,Pumpkin,Pumpkin,FAQ,26/01/2024,1200,1235,1220,84
Kerala,Kollam,Punalur,Cowpea(Veg),Other,FAQ,26/01/2024,7600,8000,7800,89
Haryana,Kaithal,Siwan,Tomato,Other,FAQ,26/01/2024,2000,2000,2000,78
Haryana,Yamuna Nagar,Jagadhri,Bhindi(Ladies Finger),Other,FAQ,26/01/2024,4600,6000,5500,85
Haryana,Kurukshetra,Thanesar,Tomato,Deshi,FAQ,26/01/2024,2000,4000,2800,78
Uttar Pradesh,Pillibhit,Pilibhit,Pumpkin,Pumpkin,FAQ,26/01/2024,1300,1380,1345,84
Kerala,Idukki,Nedumkandam,Banana - Green,Other,FAQ,26/01/2024,3000,3000,3000,90
Kerala,Kannur,Kannur,Banana - Green,Other,FAQ,26/01/2024,3800,4500,4000,90
Kerala,Kasargod,Kanjangadu,Banana - Green,Banana - Green,FAQ,26/01/2024,2600,3400,2800,90
Maharashtra,Raigad,Panvel,Bottle gourd,Other,FAQ,26/01/2024,2000,2500,2250,82
Haryana,Kurukshetra,Ladwa,Tomato,Tomato,FAQ,26/01/2024,2500,2500,2500,78
Haryana,Mewat,Tauru,Mousambi(Sweet Lime),Other,Medium,26/01/2024,2000,2000,2000,77
Chattisgarh,Bilaspur,Tiphra,Bitter gourd,Bitter Gourd,FAQ,26/01/2024,2000,2200,2100,81
Gujarat,Dahod,Dahod(Veg. Market),Bitter gourd,Bitter Gourd,FAQ,26/01/2024,3000,3500,3300,81
Kerala,Pathanamthitta,Ranniangadi,Amaranthus,Amaranthus,FAQ,26/01/2024,3800,4000,4000,86
Kerala,Thiruvananthapuram,Aralamoodu,Amaranthus,Amaranthus,FAQ,26/01/2024,5000,5000,5000,86
Haryana,Gurgaon,Gurgaon,Bitter gourd,Other,FAQ,26/01/2024,1000,2000,1500,81
Kerala,Thiruvananthapuram,Kattakada,Amaranthus,Amaranthus,FAQ,26/01/2024,3500,4500,4000,86
Uttar Pradesh,Shamli,Shamli,Pumpkin,Pumpkin,FAQ,26/01/2024,1300,1400,1350,84
Karnataka,Kolar,Bangarpet,Bhindi(Ladies Finger),Bhindi,FAQ,26/01/2024,2000,2500,2200,85
Kerala,Wayanad,Manathavady,Cowpea(Veg),Cowpea (Veg),FAQ,26/01/2024,3200,3300,3300,89
Uttar Pradesh,Mathura,Kosikalan,Pumpkin,Pumpkin,FAQ,26/01/2024,1400,1520,1500,84
Punjab,kapurthala,Phagwara,Water Melon,Other,Medium,26/01/2024,3179,3680,3680,73
Punjab,Gurdaspur,Gurdaspur,Chikoos(Sapota),Other,Medium,26/01/2024,2500,3000,2700,71
Maharashtra,Ahmednagar,Shrirampur,Guar,Other,FAQ,26/01/2024,8500,9500,9000,75
Maharashtra,Pune,Junnar(Otur),Guar,Other,FAQ,26/01/2024,3000,6520,4500,75
Maharashtra,Pune,Manchar,Guar,Other,FAQ,26/01/2024,7000,7000,7000,75
Rajasthan,Hanumangarh,Hanumangarh,Guar,Other,FAQ,26/01/2024,4900,5118,5000,75
Uttar Pradesh,Badaun,Badayoun,Papaya,Papaya,Medium,26/01/2024,1900,2040,1990,72
Uttar Pradesh,Bahraich,Bahraich,Papaya,Papaya,Medium,26/01/2024,2000,2100,2050,72
Uttar Pradesh,Bijnor,Kiratpur,Papaya,Papaya,Medium,26/01/2024,1700,1800,1750,72
