State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Ujjain,Mahidpur,Soyabean,Soyabeen,FAQ,26/03/2024,2040,4400,4400,13
Maharashtra,Jalgaon,Yawal,Maize,Yellow,FAQ,26/03/2024,1570,2060,1910,4
Madhya Pradesh,Vidisha,Ganjbasoda,Soyabean,Yellow,FAQ,26/03/2024,3800,4602,4000,13
Madhya Pradesh,Vidisha,Vidisha,Soyabean,Soyabeen,FAQ,26/03/2024,2500,4526,4526,13
Maharashtra,Nashik,Manmad,Maize,Other,FAQ,26/03/2024,2116,2125,2120,4
Uttar Pradesh,Balrampur,Panchpedwa,Rice,III,FAQ,26/03/2024,2450,2650,2500,3
Rajasthan,Ajmer,Beawar,Maize,Other,FAQ,26/03/2024,2500,2700,2600,4
West Bengal,Nadia,Karimpur,Mustard,Yellow (Black),FAQ,26/03/2024,5200,5300,5250,12
West Bengal,Nadia,Nadia,Mustard,Yellow (Black),FAQ,26/03/2024,5450,5550,5500,12
Punjab,Ferozpur,Firozepur City,Orange,Other,Medium,26/03/2024,3000,4000,3500,18
Gujarat,Bhavnagar,Palitana,Wheat,Hybrid,FAQ,26/03/2024,1995,3115,2555,1
Rajasthan,Ajmer,Ajmer(F&V),Orange,Other,Large,26/03/2024,1500,3000,2300,18
Rajasthan,Alwar,Alwar (F&V),Orange,Other,Large,26/03/2024,3000,4000,3600,18
Telangana,Karimnagar,Gopalraopet,Paddy(Dhan)(Common),I.R. 64,FAQ,26/03/2024,2203,2203,2203,2
Telangana,Karimnagar,Kathalapur,Paddy(Dhan)(Common),1001,FAQ,26/03/2024,2203,2203,2203,2
Himachal Pradesh,Kangra,Kangra(Baijnath),Apple,Apple,Medium,26/03/2024,13000,13500,13000,17
Rajasthan,Jhalawar,Bhawani Mandi,Orange,Darjeeling,Large,26/03/2024,1750,3100,2425,18
Uttar Pradesh,Azamgarh,Azamgarh,Orange,Orange,Medium,26/03/2024,2825,2975,2900,18
Uttar Pradesh,Gautam Budh Nagar,Dadri,Orange,Orange,Medium,26/03/2024,2950,3200,3050,18
Maharashtra,Nashik,Lasalgaon,Soyabean,Other,FAQ,26/03/2024,3401,4361,4300,13
Rajasthan,Chittorgarh,Kapasan,Maize,Deshi White,FAQ,26/03/2024,2000,2200,2100,4
Uttar Pradesh,Basti,Basti,Rice,III,FAQ,26/03/2024,2730,2830,2780,3
Tamil Nadu,Madurai,Madurai,Paddy(Dhan)(Common),Ponni,FAQ,26/03/2024,2478,2538,2508,2
Tamil Nadu,Theni,Bodinayakkanur,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,1700,1840,1770,2
Maharashtra,Buldhana,Khamgaon,Soyabean,Yellow,FAQ,26/03/2024,4090,4350,4220,13
Haryana,Hissar,Hansi,Orange,Other,Medium,26/03/2024,4000,5000,5000,18
Haryana,Hissar,Uklana,Orange,Other,Medium,26/03/2024,3000,3000,3000,18
Maharashtra,Chattrapati Sambhajinagar,Gangapur,Soyabean,Yellow,FAQ,26/03/2024,4045,4100,4050,13
Tamil Nadu,Erode,Boothapadi,Maize,Other,FAQ,26/03/2024,2324,2324,2324,4
Uttar Pradesh,Lakhimpur,Lakhimpur,Mustard,Sarson(Black),FAQ,26/03/2024,5000,5500,5430,12
Madhya Pradesh,Ujjain,Ujjain,Soyabean,Soyabeen,FAQ,26/03/2024,2217,4832,4612,13
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),Orange,Other,Large,26/03/2024,2900,3200,3050,18
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Orange,Nagpuri,Medium,26/03/2024,3500,5000,4250,18
