State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Raebarelli,Raibareilly,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1060,1100,1080,159
Uttar Pradesh,Rampur,Rampur,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1100,1200,1150,159
Uttar Pradesh,Saharanpur,Saharanpur,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,800,1100,950,159
Uttar Pradesh,Sambhal,Muradabad,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,850,890,870,159
Uttar Pradesh,Shamli,Kairana,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1100,1200,1150,159
Uttar Pradesh,Shamli,Shamli,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,925,1025,975,159
Uttar Pradesh,Unnao,Bangarmau,Cucumbar(Kheera),Cucumbar,FAQ,26/05/2024,1250,1350,1300,159
Uttrakhand,Haridwar,Roorkee,Cucumbar(Kheera),Other,FAQ,26/05/2024,300,500,400,159
Uttrakhand,UdhamSinghNagar,Jaspur(UC),Cucumbar(Kheera),Other,FAQ,26/05/2024,600,600,600,159
Uttrakhand,UdhamSinghNagar,Sitarganj,Cucumbar(Kheera),Other,FAQ,26/05/2024,800,1200,1000,159
Punjab,Tarntaran,Patti,Karbuja(Musk Melon),Other,Medium,26/05/2024,400,600,500,187
Uttar Pradesh,Amethi,Jafarganj,Karbuja(Musk Melon),Karbhuja,Medium,26/05/2024,1700,1800,1740,187
Jammu and Kashmir,Srinagar,Parimpore,Knool Khol,Other,FAQ,26/05/2024,1500,2000,1750,177
Uttar Pradesh,Ghaziabad,Noida,Jack Fruit,Jack Fruit,Medium,26/05/2024,1850,2040,1970,182
Uttar Pradesh,Ghaziabad,Hapur,Karbuja(Musk Melon),Karbhuja,Medium,26/05/2024,1500,1600,1550,187
Uttar Pradesh,Saharanpur,Chutmalpur,Karbuja(Musk Melon),Karbhuja,Medium,26/05/2024,900,1000,950,187
Uttar Pradesh,Saharanpur,Saharanpur,Karbuja(Musk Melon),Karbhuja,Medium,26/05/2024,1600,2000,1800,187
Uttar Pradesh,Unnao,Unnao,Karbuja(Musk Melon),Karbhuja,Medium,26/05/2024,1700,1800,1750,187
Uttar Pradesh,Mirzapur,Ahirora,Jack Fruit,Jack Fruit,Medium,26/05/2024,1800,1950,1850,182
Uttar Pradesh,Raebarelli,Lalganj,Jack Fruit,Jack Fruit,Medium,26/05/2024,1450,1550,1500,182
Kerala,Kasargod,Neeleswaram,Snakeguard,Other,FAQ,26/05/2024,4500,4800,4600,156
